model,accuracy,precision,recall,f1_score,roc_auc,train_time_sec
Logistic Regression,0.816,0.8012422360248447,0.8147368421052632,0.8079331941544885,0.902901253132832,0.03
SVM (RBF),0.809,0.7862903225806451,0.8210526315789474,0.8032955715756952,0.8947328320802004,1.92
Gradient Boosting,0.809,0.79957805907173,0.7978947368421052,0.7987355110642782,0.8946125313283209,2.16
Random Forest,0.799,0.7818930041152263,0.8,0.7908428720083247,0.8856621553884712,1.46
Decision Tree,0.751,0.7354166666666667,0.7431578947368421,0.7392670157068063,0.8267949874686716,0.04
